cve_id,primary_urls,secondary_urls,dead_links,ignored_links,failed_links,has_combined,has_refined
CVE-2022-24442,2,0,0,0,0,True,False
CVE-2021-27450,1,0,0,0,0,True,False
CVE-2022-28056,1,0,0,0,0,True,False
CVE-2022-27625,1,0,0,0,0,True,False
CVE-2022-3965,3,0,0,0,0,True,False
CVE-2022-31540,1,0,0,0,0,True,False
CVE-2022-41945,2,0,0,0,0,True,False
CVE-2022-24836,11,0,0,0,0,True,False
CVE-2022-47478,1,0,0,0,0,True,False
CVE-2021-45427,3,0,0,0,0,True,False
CVE-2021-3684,3,0,0,0,0,True,False
CVE-2022-37395,1,0,0,0,0,True,False
CVE-2022-45004,2,0,0,0,0,True,False
CVE-2022-1954,3,0,0,0,0,True,False
CVE-2022-36262,4,0,0,0,0,True,False
CVE-2022-39085,1,0,0,0,0,True,False
CVE-2022-28912,1,0,0,0,1,False,False
CVE-2022-37599,6,0,0,0,0,True,True
CVE-2022-32526,1,0,0,0,1,False,False
CVE-2022-36789,1,0,0,0,0,True,True
CVE-2022-0101,5,0,0,0,0,True,True
CVE-2022-33198,2,0,0,0,0,True,True
CVE-2021-3999,8,0,0,0,0,True,True
CVE-2022-26995,1,0,0,0,1,False,False
CVE-2022-20572,1,0,0,0,0,True,True
CVE-2022-33218,1,0,0,0,0,True,False
CVE-2021-4034,12,0,0,0,0,True,True
CVE-2022-21831,4,0,0,0,0,True,True
CVE-2022-0556,1,0,0,0,0,True,False
CVE-2022-23014,1,0,0,0,0,True,False
CVE-2022-2175,6,0,0,0,0,True,True
CVE-2022-37703,8,0,0,0,0,True,True
CVE-2021-44221,1,0,0,0,0,True,True
CVE-2022-20102,1,0,0,0,0,True,True
CVE-2022-27812,1,0,0,0,0,True,True
CVE-2022-26107,2,0,0,0,0,True,True
CVE-2021-40898,1,0,0,0,0,True,True
CVE-2022-40177,1,0,0,0,0,True,True
CVE-2022-20691,1,0,0,0,0,True,True
CVE-2022-26501,2,0,0,0,0,True,True
CVE-2021-39820,1,0,0,0,0,True,True
CVE-2022-36553,3,0,0,0,0,True,True
CVE-2021-42891,1,0,0,0,0,True,True
